OBJECTID,Shape,Permanent_Identifier,FDate,Resolution,GNIS_ID,GNIS_Name,AreaSqKm,Elevation,ReachCode,FType,FCode,VisibilityFilter,Shape_Length,Shape_Area,Rank,CumArea
74786,Polygon Z,61496999,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.000722,0,13,0
74787,Polygon Z,61496973,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.000841,0,14,0
83475,Polygon Z,61496965,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00084,0,15,0
83476,Polygon Z,61496977,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.000844,0,16,0
91997,Polygon Z,61496697,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Treatment,Unspecified,0.000849,0,17,0
92038,Polygon Z,61496963,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00084,0,18,0
100616,Polygon Z,61496693,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Treatment,Unspecified,0.000919,0,19,0
109045,Polygon Z,61496009,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000875,0,20,0
109078,Polygon Z,61496959,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.000617,0,21,0
109079,Polygon Z,61496987,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00083,0,22,0
135180,Polygon Z,61496995,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.000834,0,23,0
135181,Polygon Z,61496967,11/15/02,High,<Null>,<Null>,0,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.000637,0,24,0
126461,Polygon Z,61497895,10/16/12,High,<Null>,<Null>,0.000708,<Null>,2.08021E+12,SwampMarsh,Swamp/Marsh: Hydrographic Category: Intermittent,Unspecified,0.001463,0,25,0.000708
23398,Polygon Z,{A86202A7-D46F-466C-B43D-BD3E74F7739D},10/16/12,High,<Null>,<Null>,0.000774,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001152,0,26,0.001482
100645,Polygon Z,{DA7AD28F-CAC1-42C4-A9B6-FC261CEDC36C},10/16/12,High,<Null>,<Null>,0.000957,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001121,0,27,0.002439
5696,Polygon Z,61497277,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001467,0,28,0.003439
5779,Polygon Z,61495793,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001011,0,29,0.004439
5871,Polygon Z,61497187,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001326,0,30,0.005439
14296,Polygon Z,135972666,7/30/10 6:29,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001009,0,31,0.006439
14433,Polygon Z,61496935,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001333,0,32,0.007439
14465,Polygon Z,61497719,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001922,0,33,0.008439
14466,Polygon Z,61497281,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001282,0,34,0.009439
14467,Polygon Z,61497329,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001498,0,35,0.010439
14468,Polygon Z,61497289,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001389,0,36,0.011439
14469,Polygon Z,61497327,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001152,0,37,0.012439
14470,Polygon Z,61497353,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001059,0,38,0.013439
14637,Polygon Z,61496801,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.000998,0,39,0.014439
14638,Polygon Z,61496539,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001238,0,40,0.015439
23009,Polygon Z,61498199,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001536,0,41,0.016439
23142,Polygon Z,61497791,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001082,0,42,0.017439
23175,Polygon Z,61497305,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001455,0,43,0.018439
23176,Polygon Z,61497325,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001152,0,44,0.019439
23177,Polygon Z,61497341,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.000969,0,45,0.020439
23271,Polygon Z,61496955,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001068,0,46,0.021439
31631,Polygon Z,61498195,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001339,0,47,0.022439
31773,Polygon Z,61497303,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00099,0,48,0.023439
31774,Polygon Z,61497375,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001031,0,49,0.024439
31775,Polygon Z,61497283,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001446,0,50,0.025439
31776,Polygon Z,61497265,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00129,0,51,0.026439
40111,Polygon Z,135972711,7/30/10 6:29,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001508,0,52,0.027439
40267,Polygon Z,61497273,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001076,0,53,0.028439
40268,Polygon Z,61497247,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00114,0,54,0.029439
40269,Polygon Z,61497345,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001024,0,55,0.030439
40378,Polygon Z,61496961,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001015,0,56,0.031439
48704,Polygon Z,61498021,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.00132,0,57,0.032439
48775,Polygon Z,61496775,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001816,0,58,0.033439
48843,Polygon Z,61497347,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001243,0,59,0.034439
48844,Polygon Z,61497317,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001439,0,60,0.035439
48845,Polygon Z,61497337,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001435,0,61,0.036439
48846,Polygon Z,61497271,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001175,0,62,0.037439
48849,Polygon Z,61496643,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001238,0,63,0.038439
57495,Polygon Z,61497285,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00125,0,64,0.039439
57496,Polygon Z,61497319,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001137,0,65,0.040439
57497,Polygon Z,61496767,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001242,0,66,0.041439
57498,Polygon Z,61495749,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001451,0,67,0.042439
57687,Polygon Z,61495865,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001359,0,68,0.043439
66134,Polygon Z,61497349,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001143,0,69,0.044439
66135,Polygon Z,61497263,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.00106,0,70,0.045439
66136,Polygon Z,61497307,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001518,0,71,0.046439
66137,Polygon Z,61497363,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001113,0,72,0.047439
66205,Polygon Z,61496993,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001269,0,73,0.048439
74577,Polygon Z,61497675,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,LakePond,Lake/Pond: Hydrographic Category = Perennial,Unspecified,0.001498,0,74,0.049439
74684,Polygon Z,61497299,11/15/02,High,<Null>,<Null>,0.001,<Null>,2.08021E+12,Reservoir,Reservoir: Reservoir Type = Water Storage; Construction Material = Nonearthen,Unspecified,0.001055,0,75,0.050439
